ID,Job Role,Question Type,Category,Difficulty,Question,Answer,Label
1,Software Engineer,Technical,General Programming,Medium,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.,Excellent
2,Software Engineer,Technical,General Programming,Medium,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file.,Good
3,Software Engineer,Technical,General Programming,Medium,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable...,Average
4,Software Engineer,Technical,General Programming,Medium,What is the difference between compilation and interpretation?,"I'm not really sure, maybe it's something to do with code.",Poor
5,Software Engineer,Technical,General Programming,Medium,Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",Excellent
6,Software Engineer,Technical,General Programming,Medium,Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",Good
7,Software Engineer,Technical,General Programming,Medium,Explain the concept of polymorphism.,Polymorphism allows objects of different classes to be treated as...,Average
8,Software Engineer,Technical,General Programming,Medium,Explain the concept of polymorphism.,"I'm not really sure, maybe it's something to do with code.",Poor
9,Software Engineer,Technical,General Programming,Hard,Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods.",Excellent
10,Software Engineer,Technical,General Programming,Hard,Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct data access.",Good
11,Software Engineer,Technical,General Programming,Hard,Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct...",Average
12,Software Engineer,Technical,General Programming,Hard,Define encapsulation and give an example.,It's just a programming term I think.,Poor
13,Software Engineer,Technical,General Programming,Medium,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,Excellent
14,Software Engineer,Technical,General Programming,Medium,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods.,Good
15,Software Engineer,Technical,General Programming,Medium,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract...,Average
16,Software Engineer,Technical,General Programming,Medium,"What is an abstract class, and how is it different from an interface?",I don't know the exact answer to this.,Poor
17,Software Engineer,Technical,General Programming,Medium,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",Excellent
18,Software Engineer,Technical,General Programming,Medium,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",Good
19,Software Engineer,Technical,General Programming,Medium,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized...",Average
20,Software Engineer,Technical,General Programming,Medium,Describe the principles of Object-Oriented Programming (OOP).,I don't know the exact answer to this.,Poor
21,Software Engineer,Technical,General Programming,Medium,What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a well-defined state.",Excellent
22,Software Engineer,Technical,General Programming,Medium,What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a well-defined state.",Good
23,Software Engineer,Technical,General Programming,Medium,What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a...",Average
24,Software Engineer,Technical,General Programming,Medium,What is the purpose of a constructor?,I don't know the exact answer to this.,Poor
25,Software Engineer,Technical,General Programming,Medium,Explain the difference between stack and heap memory.,"Stack memory stores local variables and function calls; heap memory is for dynamic allocation. Stack operates in LIFO, heap managed manually or by garbage collection.",Excellent
26,Software Engineer,Technical,General Programming,Medium,Explain the difference between stack and heap memory.,Stack memory stores local variables and function calls; heap memory is for dynamic allocation.,Good
