ID,Job Role,Question Type,Category,Difficulty,Question,Answer,Label
1,Data Analyst,Technical,Statistics,Medium,What is the Central Limit Theorem and why is it important?,"The Central Limit Theorem states that the distribution of sample means approaches a normal distribution as sample size grows, regardless of the population's original distribution, which is why we can apply normal-based methods like confidence intervals to sample means.",Excellent
2,Data Analyst,Technical,Statistics,Medium,What is the Central Limit Theorem and why is it important?,"It means that if you take enough samples from a population, the average of those samples will look roughly normal, even if the original data isn't normal.",Good
3,Data Analyst,Technical,Statistics,Medium,What is the Central Limit Theorem and why is it important?,"I think it says sample averages become normal if you take a lot of samples, but I'm not fully sure why that matters for analysis.",Average
4,Data Analyst,Technical,Statistics,Medium,What is the Central Limit Theorem and why is it important?,"I'm not exactly sure, let me get back to you.",Poor
5,Data Analyst,Technical,Statistics,Medium,What is sampling? How many sampling methods do you know?,"Sampling is selecting a representative subset of a population to draw conclusions without collecting data on everyone. Common methods include simple random, stratified, cluster, and systematic sampling, each suited to different levels of population homogeneity and access.",Excellent
6,Data Analyst,Technical,Statistics,Medium,What is sampling? How many sampling methods do you know?,"Sampling means picking a smaller group from a larger population instead of studying everyone. The main types are random sampling, stratified sampling, and cluster sampling.",Good
7,Data Analyst,Technical,Statistics,Medium,What is sampling? How many sampling methods do you know?,"Sampling is taking part of the data instead of all of it. There's random sampling, and I think a couple of other types, but I don't remember them.",Average
8,Data Analyst,Technical,Statistics,Medium,What is sampling? How many sampling methods do you know?,"It's just a term I've heard, not sure exactly what it means.",Poor
9,Data Analyst,Technical,Statistics,Medium,What is the difference between Type I vs Type II error?,A Type I error is a false positive — rejecting a true null hypothesis — and is controlled by the significance level (alpha). A Type II error is a false negative — failing to reject a false null hypothesis — and relates to the test's statistical power; reducing one generally increases the other unless sample size grows.,Excellent
10,Data Analyst,Technical,Statistics,Medium,What is the difference between Type I vs Type II error?,"Type I error is a false positive, rejecting a null hypothesis that's actually true. Type II is a false negative, not rejecting one that's actually false.",Good
11,Data Analyst,Technical,Statistics,Medium,What is the difference between Type I vs Type II error?,"One is thinking there's an effect when there isn't, and the other is the opposite, but I always mix up which one is which.",Average
12,Data Analyst,Technical,Statistics,Medium,What is the difference between Type I vs Type II error?,It's just a programming term I think.,Poor
13,Data Analyst,Technical,Statistics,Hard,"What is linear regression? What do the terms p-value, coefficient, and R-squared mean?",Linear regression models a dependent variable as a linear function of one or more predictors. The coefficient is the expected change in the outcome per unit change in a predictor; the p-value tests whether that coefficient differs significantly from zero; and R-squared measures the proportion of variance in the outcome explained by the model.,Excellent
14,Data Analyst,Technical,Statistics,Hard,"What is linear regression? What do the terms p-value, coefficient, and R-squared mean?","Linear regression fits a line to the relationship between variables. The coefficient is how much the outcome changes per unit of the predictor, the p-value shows if that's statistically significant, and R-squared shows how well the model fits.",Good
15,Data Analyst,Technical,Statistics,Hard,"What is linear regression? What do the terms p-value, coefficient, and R-squared mean?","Linear regression is fitting a line to data. Coefficient is like the slope and R-squared is about fit quality, but I don't remember exactly how p-value fits in.",Average
16,Data Analyst,Technical,Statistics,Hard,"What is linear regression? What do the terms p-value, coefficient, and R-squared mean?","I'm not really sure, maybe it's something to do with statistics.",Poor
17,Data Analyst,Technical,Statistics,Hard,What are the assumptions required for linear regression?,"Linear regression assumes linearity between predictors and outcome, independence of residuals, homoscedasticity (constant variance of residuals), approximately normally distributed errors, and minimal multicollinearity among predictors; violating these can bias estimates or invalidate significance tests.",Excellent
18,Data Analyst,Technical,Statistics,Hard,What are the assumptions required for linear regression?,"The main assumptions are a linear relationship, independent and normally distributed errors, and constant variance of the errors. Predictors also shouldn't be too correlated with each other.",Good
19,Data Analyst,Technical,Statistics,Hard,What are the assumptions required for linear regression?,"I know the data needs to be roughly linear and the errors need to be random, but I couldn't list all the assumptions confidently.",Average
20,Data Analyst,Technical,Statistics,Hard,What are the assumptions required for linear regression?,It's just a programming term I think.,Poor
