ID,Job Role,Question Type,Category,Question,Answer,Label
1,General/HR,Behavioral,Adaptability,Tell me about a time you had to learn something completely new quickly.,"I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly.",Excellent
2,General/HR,Behavioral,Adaptability,Tell me about a time you had to learn something completely new quickly.,I'm always eager to learn and embrace change as a way to improve.,Good
3,General/HR,Behavioral,Adaptability,Tell me about a time you had to learn something completely new quickly.,I'm always eager to learn and embrace change...,Average
4,General/HR,Behavioral,Adaptability,Tell me about a time you had to learn something completely new quickly.,I'm not really sure how to answer that.,Poor
5,General/HR,Behavioral,Conflict Resolution,Describe a time you handled a difficult situation professionally.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together.",Excellent
6,General/HR,Behavioral,Conflict Resolution,Describe a time you handled a difficult situation professionally.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together.",Good
7,General/HR,Behavioral,Conflict Resolution,Describe a time you handled a difficult situation professionally.,"When faced with conflict, I approach it calmly...",Average
8,General/HR,Behavioral,Conflict Resolution,Describe a time you handled a difficult situation professionally.,I'm not really sure how to answer that.,Poor
9,General/HR,Behavioral,Career Goals,Where do you see yourself in 5 years?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that.,Excellent
10,General/HR,Behavioral,Career Goals,Where do you see yourself in 5 years?,My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others.,Good
11,General/HR,Behavioral,Career Goals,Where do you see yourself in 5 years?,My long-term goal is to grow into a...,Average
12,General/HR,Behavioral,Career Goals,Where do you see yourself in 5 years?,I guess I just try to do my best.,Poor
13,General/HR,Behavioral,Conflict Resolution,Tell me about a conflict you had with a coworker and how you resolved it.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together.",Excellent
14,General/HR,Behavioral,Conflict Resolution,Tell me about a conflict you had with a coworker and how you resolved it.,"When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together.",Good
15,General/HR,Behavioral,Conflict Resolution,Tell me about a conflict you had with a coworker and how you resolved it.,"When faced with conflict, I approach it calmly...",Average
16,General/HR,Behavioral,Conflict Resolution,Tell me about a conflict you had with a coworker and how you resolved it.,I don't have a specific example in mind.,Poor
